,Price,Title,News,品牌,商品名称,商品编号,商品毛重,商品产地,NVMe协议,NVMe读速,容量,接口,包装清单,系列,型号,顺序写入,缓存,顺序读速,工作温度,TBW,产品尺寸,保存温度,好评度,评价特性,闪存类型,货号,店铺,特征特质,传输速度,外壳材质,颜色,连续写速,连续读速,指示灯,系统,优选服务,转速,硬盘尺寸,硬盘类型,特性,最大写入速度,钥匙孔,最大读取速度,产品净重（g）
0,549.90,英睿达（Crucial）美光 1TB SSD固态硬盘 M.2接口(NVMe协议) P3系列 美光原厂出品,【旗舰新品上市】限量抢购中，晒单再送50元E卡！读速高达3500MB/s，美光176层颗粒，原厂出品——【新品专区查看>, Crucial,CrucialCT1000P3SSD8,100038325615,35.00g,中国、美国、新加坡、墨西哥、泰国,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),SSD*1,P3,CT1000P3SSD8,3000MB/s,无缓存,3500MB/s,0 °C 至 70 °C,220TBW,长22mm；宽80mm；高2.4mm,0 °C 至 70 °C,98%,此商品暂时还没有买家印象哦~,,,,,,,,,,,,,,,,,,,,
1,269.00,金士顿(Kingston) 480GB SSD固态硬盘 SATA3.0接口 A400系列,"此商品将于2022-09-24,00点结束闪购特卖，品牌联合活动查看>", 金士顿（Kingston）,金士顿A400系列 480G,4311182,80.00g,中国大陆，中国台湾,,,480-512GB,SATA接口,SSDx1,A400系列,SA400S37/480G或SA400S37/480GBK或SA400S37/480GBKCN或SA400S37/480GCN,450MB/s,无缓存,500MB/s,0~70°C,160TBW,长100mm；宽69.9mm；高7mm,-40~85°C,99%,运行超快 运行速快 读取快捷 质量上乘 简单方便 反应灵敏 方便快捷 做工一流 十分大气 小巧玲珑 效果惊艳,其他,,,,,,,,,,,,,,,,,,,
2,699.00,三星（SAMSUNG）1TB SSD固态硬盘 M.2接口(NVMe协议) 980（MZ-V8V1T0BW）,【满血无缓存！0元抽京东plus会员，部分型号白条三期免息】兼具速度与可靠性！读速高达3500MB/s，全功率模式！点击, 三星（SAMSUNG）,三星980,100018768506,79.00g,中国/韩国/泰国,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),硬盘 × 1 ，说明书 × 1，包装彩盒×1,980,MZ-V8V1T0BW,3000MB/s,无缓存,3500MB/s,0 - 70 ℃,600TBW,长80.15mm；宽22.15mm；高2.38mm,-40~85°C,98%,读取快捷 质量上乘 简单方便 稳定性佳 运行速快 结实耐用 做工一流 反应灵敏 方便快捷 小巧可爱 精致美观,TLC,MZ-V8V1T0BW,,,,,,,,,,,,,,,,,,
3,1699.00,铠侠（Kioxia）2TB SSD固态硬盘 NVMe M.2接口 EXCERIA Pro SE10 极至超速系列（PCIe 4.0 产品）,"【评论赢百元E卡】Gen4旗舰新品，日本原厂颗粒,读速7300MB/S,写速6400MB/S,发烧级电竞产品。更多惊喜请戳》》》", 铠侠（Kioxia）,铠侠 LSE10Z002TC8,100015438989,50.00g,中国大陆,PCIe 4.0,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),固态硬盘*1,LSE10,LSE10Z002TC8,6400MB/s,2GB,7300MB/s,0 °C (Ta) to 85 °C (Tc),800TBW,长80.15mm；宽22.15mm；高2.23mm,-40 °C to 85 °C,98%,读写迅速 做工一流 读取快捷 尺寸合适 运行稳定 运行超快 启动快速,TLC,,,,,,,,,,,,,,,,,,,
4,119.00,京东京造 3系列 240GB SATA3 SSD固态硬盘 JZ-2.5SSD240GB-3,, 京东京造,京东京造JZ-2.5SSD240GB-3,100029718998,70.00g,中国大陆,,,240-256GB,SATA接口,说明书 合格证 彩盒 吸塑 主机,3,JZ-2.5SSD240GB-3,450MB/s,无缓存,540MB/s,0-70,120TBW,长100mm；宽69.85mm；高7mm,-40-85,99%,运行速快 读取快捷 简单方便 运行超快 质量上乘 反应灵敏 做工一流 方便快捷 十分大气 简洁大方 读写迅速,TLC,,,,,,,,,,,,,,,,,,,
5,749.00,西部数据（Western Digital）1TB SSD固态硬盘 M.2接口(PCIe 4.0 x4)WD_BLACK SN770 NVMe SSD游戏高性能版,【电竞级新品】【SN850X，读速高达7300MB/s，容量1T】【BICS5技术】【下单送WD限定礼包+礼盒】等你来抢！查看>, 西部数据（WD）,西部数据WDS100T3X0E,100019517363,40.00g,中国大陆/马来西亚/泰国,PCIe 4.0,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK SN770 NVMe SSD*1片,WD_BLACK系列,WDS100T3X0E,4900MB/s,无缓存,5150MB/s,0ºC to 85ºC,600TBW,长80mm；宽22mm；高2.38mm,-40ºC至 85ºC,98%,读取快捷 质量上乘 简单方便 运行稳定 运行速快 做工一流 反应灵敏 小巧玲珑 方便快捷 精致细腻 倍感舒适,TLC,,,,,,,,,,,,,,,,,,,
6,649.90,英睿达（Crucial）美光1TB SSD固态硬盘M.2接口(NVMe协议 PCIe4.0*4) P3Plus 游戏高速 美光出品 PS5拓展,【旗舰新品上市】限量抢购中，晒单再送50元E卡！PCIe4.0疾速电竞加载，读速高达5000MB/s！美光出品，独立主控——【新品专区, Crucial,CrucialCT1000P3PSSD8,100035447985,40.00g,中国、美国、新加坡、墨西哥、泰国,PCIe 4.0,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),SSD*1,P3 Plus,CT1000P3PSSD8,3600MB/s,无缓存,5000MB/s,0 °C 至 70 °C,220TBW,长22mm；宽80mm；高2.4mm,0 °C 至 70 °C,98%,此商品暂时还没有买家印象哦~,,,,,,,,,,,,,,,,,,,,
7,399.00,三星（SAMSUNG）500GB SSD固态硬盘 SATA3.0接口 870 EVO（MZ-77E500B）,【0元抽京东plus会员，部分型号白条三期免息】性能优异！高性价比！智能兼容！升级优选！点击查看>, 三星（SAMSUNG）,三星870 EVO,100010169471,87.00g,中国大陆/韩国,,,480-512GB,SATA接口,硬盘 × 1 说明书 × 1，包装彩盒*1,870 EVO,MZ-77E500B,530MB/s,512M,560MB/s,0 - 70 ℃,300TBW,长100mm；宽69.85mm；高6.8mm,-45°C to 85°C,98%,质量上乘 读取快捷 运行速快 运行超快 反应灵敏 简单方便 结实耐用 做工一流 方便快捷 小巧玲珑 时尚大气,TLC,MZ-77E500B,,,,,,,,,,,,,,,,,,
8,529.00,金士顿(Kingston) 1TB SSD固态硬盘 M.2接口(NVMe协议 PCIe 4.0×4)兼容PCIe3.0 NV2系列,"【晒单赢50元E卡，白条6期免息】读速高达3500MB/S,PCIe4.0兼容PCIe3.0,全系单面设计,高端存储的荣耀之选！详情查看>", 金士顿（Kingston）,金士顿SNV2S/1000G,100036659879,25.00g,中国（含香港特别行政区、澳门特别行政区、台湾地区）；其它,PCIe 4.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),SSD*1,NV2系列,SNV2S/1000G,2100MB/s,无缓存,3500MB/s,0°C〜70°C,320TBW,长80mm；宽22mm；高2.2mm,-40°C〜85°C,99%,此商品暂时还没有买家印象哦~,其他,,,,,,,,,,,,,,,,,,,
9,759.00,威刚（ADATA） XPG 翼龙 S70B PCIe4.0 SSD固态硬盘 支持PS5拓展存储 S70 BLADE 1TB,品质铸就经典，万紫千红，严选颗粒、兼具口碑与人气、稳定兼容！~购买同款16G大容量更实惠~点击查看>, 威刚（ADATA）,威刚（ADATA）S70B,10051527430639,30.00g,,PCIe 4.0,,960GB-1TB,M.2接口(NVMe协议),暂无,,,5500MB/s,1GB,7400MB/s,0°C ~ 70°C,740TBW,长80mm；宽22mm；高4.3mm,- 40°C ~ 85°C,99%,简单方便 传输快捷 流畅度佳 做工一流 运行快速 质量上乘 尺寸合适 方便快捷 读取快捷,TLC,,,,,,,,,,,,,,,,,,,
