,小区名称,price,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,别墅类型
0,金成国际广场,149.9万,金水区 枣庄 近2号线东风路站,3室2厅1厨2卫,中楼层 (共23层),170.24㎡,平层,143.97㎡,塔楼,南 北,钢混结构,简装,两梯四户,自供暖,有,2022-08-24,商品房,2011-07-19,普通住宅,满五年,非共有,有抵押 60万元 中原银行 业主自还,已上传房本照片,,,
1,民航新村,156万,金水区 财富广场 ,3室1厅1厨1卫,低楼层 (共7层),90.44㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,集中供暖,无,2022-08-23,商品房,2018-11-22,普通住宅,满两年,非共有,有抵押 114万元 工商银行 客户偿还,已上传房本照片,,,
2,明珠小城,88万,金水区 沙口路 近5号线沙口路站,2室1厅1厨1卫,中楼层 (共6层),80.61㎡,平层,暂无数据,板楼,南 北,混合结构,简装,两梯两户,自供暖,有,2022-08-21,商品房,2008-10-03,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
3,中方园东区,78万,金水区 陈寨 ,2室2厅1厨1卫,中楼层 (共7层),99.81㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,2022-08-22,商品房,2001-08-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
4,开元小区,125万,金水区 南阳路 近3号线南阳新村站,3室2厅1厨1卫,中楼层 (共7层),126.82㎡,平层,115.95㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2022-08-21,商品房,2016-08-12,普通住宅,满五年,非共有,有抵押 70万元 交通银行 业主自还,已上传房本照片,,,
5,大观国际居住区,248万,金水区 燕庄 ,3室1厅1厨2卫,低楼层 (共33层),133.12㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-08-20,商品房,2017-11-22,普通住宅,满两年,非共有,有抵押 90万元 客户偿还,已上传房本照片,,,
6,中方园东区,106万,金水区 陈寨 ,2室2厅1厨1卫,中楼层 (共7层),128.71㎡,平层,暂无数据,板楼,东,混合结构,简装,一梯两户,自供暖,无,2022-08-24,商品房,2017-02-10,普通住宅,满五年,非共有,有抵押 95万元,已上传房本照片,,,
7,开祥御龙城,125万,金水区 绿茵广场 近3号线同乐站,3室1厅1厨1卫,高楼层 (共33层),88.92㎡,平层,62.47㎡,塔楼,北,钢混结构,精装,四梯十二户,集中供暖,有,2022-08-07,商品房,2016-08-10,普通住宅,满五年,非共有,有抵押 40万元 金融公司垫资,已上传房本照片,,,
8,文劳路9号院,130万,金水区 省中医院 ,3室2厅1厨1卫,低楼层 (共11层),123.12㎡,平层,104.59㎡,板塔结合,南 北,钢混结构,简装,一梯六户,自供暖,有,2022-08-15,商品房,2020-04-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
9,晖达优胜小区,72万,金水区 大石桥 近3号线大石桥站,3室1厅1厨1卫,高楼层 (共7层),86.72㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,自供暖,无,2022-08-21,商品房,2016-12-27,普通住宅,满五年,非共有,有抵押 60万元,已上传房本照片,,,
10,永恒理想公元,130万,金水区 东建材 近3号线凤凰台站,2室2厅1厨1卫,高楼层 (共24层),89.39㎡,平层,63.8㎡,塔楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-08-22,商品房,2016-07-29,普通住宅,满五年,非共有,有抵押 35万元,已上传房本照片,,,
11,伟业栖岸,175万,金水区 燕庄 近4号线商鼎路站,3室2厅1厨1卫,低楼层 (共15层),120.45㎡,平层,94.52㎡,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2022-08-15,商品房,2016-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
12,非常国际,235万,金水区 枣庄 ,3室2厅1厨2卫,高楼层 (共24层),145.5㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-08-15,商品房,2017-01-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
13,中方园东区,123.5万,金水区 陈寨 ,6室2厅1厨2卫,高楼层 (共7层),185.64㎡,复式,166.42㎡,板楼,南 北,砖混结构,毛坯,一梯两户,自供暖,无,2020-12-04,商品房,2011-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
14,聚福园,86万,金水区 普罗旺世 近4号线北二十里铺站,3室2厅1厨1卫,高楼层 (共11层),98.26㎡,平层,84.46㎡,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,2022-08-23,商品房,2019-10-25,普通住宅,满两年,非共有,有抵押 75万元,已上传房本照片,,,
